C:\Users\vedic\PycharmProjects\Self-Drive\IMG\center_2017_12_03_03_14_01_865.jpg,C:\Users\vedic\PycharmProjects\Self-Drive\IMG\left_2017_12_03_03_14_01_865.jpg,C:\Users\vedic\PycharmProjects\Self-Drive\IMG\right_2017_12_03_03_14_01_865.jpg,0,0,0,5.521984E-06
C:\Users\vedic\PycharmProjects\Self-Drive\IMG\center_2017_12_03_03_14_01_974.jpg,C:\Users\vedic\PycharmProjects\Self-Drive\IMG\left_2017_12_03_03_14_01_974.jpg,C:\Users\vedic\PycharmProjects\Self-Drive\IMG\right_2017_12_03_03_14_01_974.jpg,0,0,0,1.005821E-05
C:\Users\vedic\PycharmProjects\Self-Drive\IMG\center_2017_12_03_03_14_02_074.jpg,C:\Users\vedic\PycharmProjects\Self-Drive\IMG\left_2017_12_03_03_14_02_074.jpg,C:\Users\vedic\PycharmProjects\Self-Drive\IMG\right_2017_12_03_03_14_02_074.jpg,0,0,0,1.348353E-06
C:\Users\vedic\PycharmProjects\Self-Drive\IMG\center_2017_12_03_03_14_02_176.jpg,C:\Users\vedic\PycharmProjects\Self-Drive\IMG\left_2017_12_03_03_14_02_176.jpg,C:\Users\vedic\PycharmProjects\Self-Drive\IMG\right_2017_12_03_03_14_02_176.jpg,0,0,0,1.932214E-05
C:\Users\vedic\PycharmProjects\Self-Drive\IMG\center_2017_12_03_03_14_02_265.jpg,C:\Users\vedic\PycharmProjects\Self-Drive\IMG\left_2017_12_03_03_14_02_265.jpg,C:\Users\vedic\PycharmProjects\Self-Drive\IMG\right_2017_12_03_03_14_02_265.jpg,0,0,0,2.658382E-05
C:\Users\vedic\PycharmProjects\Self-Drive\IMG\center_2017_12_03_03_14_02_370.jpg,C:\Users\vedic\PycharmProjects\Self-Drive\IMG\left_2017_12_03_03_14_02_370.jpg,C:\Users\vedic\PycharmProjects\Self-Drive\IMG\right_2017_12_03_03_14_02_370.jpg,0,0,0,6.11557E-07
C:\Users\vedic\PycharmProjects\Self-Drive\IMG\center_2017_12_03_03_14_02_464.jpg,C:\Users\vedic\PycharmProjects\Self-Drive\IMG\left_2017_12_03_03_14_02_464.jpg,C:\Users\vedic\PycharmProjects\Self-Drive\IMG\right_2017_12_03_03_14_02_464.jpg,0,0,0,8.464613E-06
C:\Users\vedic\PycharmProjects\Self-Drive\IMG\center_2017_12_03_03_14_02_564.jpg,C:\Users\vedic\PycharmProjects\Self-Drive\IMG\left_2017_12_03_03_14_02_564.jpg,C:\Users\vedic\PycharmProjects\Self-Drive\IMG\right_2017_12_03_03_14_02_564.jpg,0,0,0,1.580413E-05
C:\Users\vedic\PycharmProjects\Self-Drive\IMG\center_2017_12_03_03_14_02_660.jpg,C:\Users\vedic\PycharmProjects\Self-Drive\IMG\left_2017_12_03_03_14_02_660.jpg,C:\Users\vedic\PycharmProjects\Self-Drive\IMG\right_2017_12_03_03_14_02_660.jpg,0,0,0,1.685798E-06
C:\Users\vedic\PycharmProjects\Self-Drive\IMG\center_2017_12_03_03_14_02_750.jpg,C:\Users\vedic\PycharmProjects\Self-Drive\IMG\left_2017_12_03_03_14_02_750.jpg,C:\Users\vedic\PycharmProjects\Self-Drive\IMG\right_2017_12_03_03_14_02_750.jpg,0,0,0,6.089763E-06
C:\Users\vedic\PycharmProjects\Self-Drive\IMG\center_2017_12_03_03_14_02_904.jpg,C:\Users\vedic\PycharmProjects\Self-Drive\IMG\left_2017_12_03_03_14_02_904.jpg,C:\Users\vedic\PycharmProjects\Self-Drive\IMG\right_2017_12_03_03_14_02_904.jpg,0,0.3254621,0,0.3643853
C:\Users\vedic\PycharmProjects\Self-Drive\IMG\center_2017_12_03_03_14_03_000.jpg,C:\Users\vedic\PycharmProjects\Self-Drive\IMG\left_2017_12_03_03_14_03_000.jpg,C:\Users\vedic\PycharmProjects\Self-Drive\IMG\right_2017_12_03_03_14_03_000.jpg,0,0.738585,0,1.594457
C:\Users\vedic\PycharmProjects\Self-Drive\IMG\center_2017_12_03_03_14_03_157.jpg,C:\Users\vedic\PycharmProjects\Self-Drive\IMG\left_2017_12_03_03_14_03_157.jpg,C:\Users\vedic\PycharmProjects\Self-Drive\IMG\right_2017_12_03_03_14_03_157.jpg,0,1,0,3.40038
C:\Users\vedic\PycharmProjects\Self-Drive\IMG\center_2017_12_03_03_14_03_261.jpg,C:\Users\vedic\PycharmProjects\Self-Drive\IMG\left_2017_12_03_03_14_03_261.jpg,C:\Users\vedic\PycharmProjects\Self-Drive\IMG\right_2017_12_03_03_14_03_261.jpg,0,1,0,4.573162
C:\Users\vedic\PycharmProjects\Self-Drive\IMG\center_2017_12_03_03_14_03_345.jpg,C:\Users\vedic\PycharmProjects\Self-Drive\IMG\left_2017_12_03_03_14_03_345.jpg,C:\Users\vedic\PycharmProjects\Self-Drive\IMG\right_2017_12_03_03_14_03_345.jpg,0,1,0,5.50214
